samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
ND001_1_L004 ND001.L004.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1001/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1001_S137_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1001/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1001_S137_L004_R2_001.fastq.gz
ND001_2_L004 ND001.L004.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1002/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1002_S138_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1002/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1002_S138_L004_R2_001.fastq.gz
ND001_3_L004 ND001.L004.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1003/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1003_S139_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1003/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1003_S139_L004_R2_001.fastq.gz
ND006_1_L004 ND006.L004.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1004/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1004_S140_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1004/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1004_S140_L004_R2_001.fastq.gz
ND006_2_L004 ND006.L004.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1005/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1005_S141_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1005/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1005_S141_L004_R2_001.fastq.gz
ND006_3_L004 ND006.L004.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1006/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1006_S142_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1006/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1006_S142_L004_R2_001.fastq.gz
ND009_1_L004 ND009.L004.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1007/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1007_S143_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1007/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1007_S143_L004_R2_001.fastq.gz
ND009_2_L004 ND009.L004.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1008/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1008_S144_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1008/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1008_S144_L004_R2_001.fastq.gz
ND009_3_L004 ND009.L004.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1009/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1009_S145_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1009/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1009_S145_L004_R2_001.fastq.gz
ND010_1_L004 ND010.L004.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1010/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1010_S146_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1010/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1010_S146_L004_R2_001.fastq.gz
ND010_2_L004 ND010.L004.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1011/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1011_S147_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1011/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1011_S147_L004_R2_001.fastq.gz
ND010_3_L004 ND010.L004.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1012/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1012_S148_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1012/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1012_S148_L004_R2_001.fastq.gz
ND011_1_L004 ND011.L004.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1013/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1013_S149_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1013/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1013_S149_L004_R2_001.fastq.gz
ND011_2_L004 ND011.L004.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1014/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1014_S150_L004_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_1/P21365/P21365_1014/02-FASTQ/210611_A00621_0419_BH5FKLDSX2/P21365_1014_S150_L004_R2_001.fastq.gz
